Index,Day,Month,Year,Type,Registration,Operator,Fatalities,Location,Country,Category
19065,12,FEB,2000,Boeing 727-82,S9-NAZ,Transafrik,0,Luanda-4 de Feve...,Angola,A1
19066,12,FEB,2000,Airbus A300B4-203,TU-TAT,Air Afrique,0,Dakar-Yoff Airpo...,Senegal,A1
19067,16,FEB,2000,DC-8-71F,N8079U,Emery Worldwide,3,near Sacramento-Mathe...,USA,A1
19068,16,FEB,2000,NAMC YS-11A-213,JA8727,ANK- Air Nippon,0,Sapporo-Okadama ...,Japan,A1
19069,19,FEB,2000,DC-8-63F,N811CK,Kitty Hawk International,0,Seattle/Tacoma I...,USA,A2
19070,19,FEB,2000,Beech 1900C-1,HK-4200,Aerotaca,1,an airstrip near...,Colombia,H2
19071,21,FEB,2000,Fokker 100,N1403M,American Airlines,0,Chicago-O'Hare I...,USA,A2
19072,22,FEB,2000,Boeing 767-366ER,SU-GAO,EgyptAir,0,Harare Airport (...,Zimbabwe,A2
19073,23,FEB,2000,Antonov An-32,K2690,Indian AF,,Vijaynagar,India,A1
19074,27,FEB,2000,Boeing 737-4Y0,PT-TEO,Transbrasil,0,Porto Alegre-Sal...,Brazil,A2
19075,29,FEB,2000,Boeing 737,,China Southwest,0,Fuzhou Changle I...,China,H2
19076,,FEB,2000,CASA C-212 Aviocar 200,N461CA,Sandair,0,,Unknown country,U1
19077,1,MAR,2000,DC-10-30F,N302FE,FedEx,0,Newark Internati...,USA,A2
19078,5,MAR,2000,Boeing 737-3T5,N668SW,Southwest Airlines,0,Burbank/Glendale...,USA,A1
19079,9,MAR,2000,Yakovlev Yak-40D,RA-88170,Vologoda Air,9,Moskva-Sheremety...,Russia,A1
19080,15,MAR,2000,Airbus A330-322,9M-MKB,Malaysia Airlines,0,Kuala Lumpur Int...,Malaysia,A1
19081,16,MAR,2000,DC-9-83 (MD-83),,Alaska Airlines,0,San Francisco In...,USA,H2
19082,17,MAR,2000,DHC-6 Twin Otter 300,HP-1267APP,AeroPerlas,10,near Carreto,Panama,A1
19083,17,MAR,2000,Douglas C-47A (DC-3),C-FNTF,Points North Air Services,2,Ennadai Lake Air...,Canada,A1
