Index,Day,Month,Year,Type,Registration,Operator,Fatalities,Location,Country,Category
15440,,MAY,1985,BN-2A-9 Islander,TZ-ACS,Air Mali,,,Unknown country,U1
15441,5,JUN,1985,Antonov An-2TP,CCCP-29348,Aeroflot - Yakutsk,0,near Sangar,Russia,A1
15442,9,JUN,1985,Beech 200 Super King Air,N148CP,Jaradac International Corp.,2,near Montgomery-Orang...,USA,A1
15443,10,JUN,1985,Learjet 24B,F-BSRL,Euralair International,2,near Provins,France,A1
15444,10,JUN,1985,Antonov An-2R,CCCP-32028,Aeroflot - Uzbekistan,2,Stavropol region,Russia,A1
15445,11,JUN,1985,Rockwell 1121 Jet Commander,N69GT,Sultan Industries,0,Los Angeles-Van ...,USA,A1
15446,12,JUN,1985,Boeing 727-2D3,JY-AFW,Alia,0,Beirut Internati...,Lebanon,H1
15447,12,JUN,1985,Boeing 707-300,,MEA,0,Larnaca Airport ...,Cyprus,H2
15448,12,JUN,1985,Antonov An-2,LZ-...,Unknown,1,within Bulgaria,Bulgaria,A1
15449,13,JUN,1985,Boeing 707-336B,TY-BBR,Benin Government,0,Sebha Airport (SEB),Libya,A1
15450,14,JUN,1985,Boeing 727-231,N64339,TWA,1,Beirut Internati...,Lebanon,H2
15451,19,JUN,1985,Convair VT-29B (CV-240),N155PA,Combs Airways,0,near Trenton-Mercer C...,USA,A1
15452,20,JUN,1985,Antonov An-2TP,CCCP-91783,Aeroflot - Yakutsk,0,Moma,Russia,A1
15453,21,JUN,1985,Boeing 737-205,LN-SUG,Braathens,0,Oslo-Fornebu Air...,Norway,H2
15454,23,JUN,1985,Embraer EMB-110P Bandeirante,PT-GJN,TABA,17,near Juara Airport -  M...,Brazil,A1
15455,23,JUN,1985,Boeing 747-237B,VT-EFO,Air-India,329,near Cork -  Ireland,Atlantic Ocean,C1
15456,24,JUN,1985,Lockheed C-130E Hercules,2457,Brazilian AF,7,near Santa Maria -  RS,Brazil,A1
15457,27,JUN,1985,DC-10-10,N129AA,American Airlines,0,San Juan-Luis Mu...,Puerto Rico,A2
15458,27,JUN,1985,Embraer P-95 Bandeirulha (EMB-111A),7053,Brazilian AF,4,near Ponta de Mucurip...,Atlantic Ocean,A1
15459,27,JUN,1985,Antonov An-2R,CCCP-84724,Aeroflot - East Siberia,0,near Suduntui -  Chita ...,Russia,A1
15460,28,JUN,1985,Boeing 727-2F2,TC-JCB,THY,0,Istanbul-Atatür...,Turkey,H2
15461,30,JUN,1985,Douglas C-47B (DC-3),N168Z,Northern Peninsula Fisheries,0,King Salmon -  AK,USA,A1
15462,,JUN,1985,BN-2A Islander,TR-LXW,Rougier Gabon,,,Unknown country,U1
15463,1,JUL,1985,BAe BAe-748-314 Srs. 2A LFD,JW9009,Tanzanian AF,4,near Mbeya Airport (MBI),Tanzania,A1
15464,2,JUL,1985,Fokker F-27 Friendship 200,ST-AAR,Sudan Airways,0,Eldebba Airport ...,Sudan,A1
15465,4,JUL,1985,Airbus A300B4-203,P2-ANG,Air Niugini,0,Brisbane-Eagle F...,Australia,H2
15466,4,JUL,1985,Antonov An-2R,CCCP-55710,Aeroflot - Krasnoyarsk,0,Baykit (BKT),Russia,A1
15467,4,JUL,1985,DC-8-73CF,N816EV,Evergreen International - op.for Air-India,0,Calcutta-Dum Dum...,India,A2
15468,7,JUL,1985,Douglas C-118A (DC-6),N2878F,Northern Pacific Transport,0,Egegik Airport -  ...,USA,A1
15469,7,JUL,1985,Douglas DC-3A,HK-1340,LACOL Colombia,3,near Villavicencio-La...,Colombia,A1
15470,7,JUL,1985,Antonov An-2R,CCCP-06255,Aeroflot - Privolzhsk,0,Krasny Yar distr...,Russia,A1
15471,10,JUL,1985,Tupolev Tu-154B-2,CCCP-85311,Aeroflot - Uzbekistan,200,near Uchkuduk,Uzbekistan,A1
15472,11,JUL,1985,Antonov An-12,,Soviet AF,14,near Kandahar Airport...,Afghanistan,C1
15473,14,JUL,1985,DHC-3 Otter,C-FIOD,Propair,0,near Lac Hélène -  QC,Canada,A1
15474,15,JUL,1985,Antonov An-2R,CCCP-55706,Aeroflot - Georgia,0,Selitrennoye -  Kh...,Russia,A1
15475,17,JUL,1985,Convair CV-990,N712NA,NASA,0,Riverside-March ...,USA,A1
15476,24,JUL,1985,Douglas DC-6B,FAC-902,Colombian AF,80,near Leticia,Colombia,A1
15477,24,JUL,1985,Dornier CD-01A Seastar,D-ICDS,Dornier,0,Bodensee,Germany,A1
15478,26,JUL,1985,Ilyushin Il-14,,Soviet AF,7,Mt. Komendant -  O...,Russia,A1
15479,29,JUL,1985,Consolidated PBY-6A Catalina,N2886D,Aries Aire,2,Northport -  WA,USA,A1
15480,30,JUL,1985,BN-2A Islander,Z-WHX,United Air Charters,1,Luabo,Zimbabwe,C2
15481,2,AUG,1985,Lockheed L-1011 TriStar 1,N726DA,Delta Air Lines,134+ 1,Dallas/Fort Wort...,USA,A1
15482,4,AUG,1985,Embraer EMB-110P1 Bandeirante,HK-2593,AIRES Colombia,0,Mocoa,Colombia,A1
15483,5,AUG,1985,Boeing 727,,Iran Air,1,Bandar Abbas Air...,Iran,H2
15484,12,AUG,1985,DHC-6 Twin Otter 300,PK-NUG,Merpati Nusantara,2,near Mulia Airport (LII),Indonesia,A1
15485,12,AUG,1985,Boeing 747SR-46,JA8119,JAL,520,near Ueno Village -  Ta...,Japan,A1
15486,12,AUG,1985,Beech 200 Super King Air,N100HC,Jet Fleet,0,Quinlan -  TX,USA,A1
15487,13,AUG,1985,Antonov An-2R,YR-PVU,Aviatia Utilitara,,,Unknown country,A1
15488,15,AUG,1985,Boeing 707-336C,7O-ACO,Alyemda,3,Aden,Yemen,A2
15489,19,AUG,1985,Martin 4-0-4,CP-1704,CAN,0,La Paz-El Alto A...,Bolivia,A1
15490,20,AUG,1985,Learjet 24XR,N455JA,ERA-Jet Alaska,3,near Gulkana -  AK,USA,A1
15491,20,AUG,1985,Learjet 35,VH-WFE,Wards Express,0,Katherine-Tindal...,Australia,A2
15492,21,AUG,1985,Boeing 720-023B,OD-AFL,MEA,0,Beirut Internati...,Lebanon,C1
15493,21,AUG,1985,Boeing 720-047B,OD-AGQ,MEA,0,Beirut Internati...,Lebanon,C1
15494,22,AUG,1985,Boeing 737-236,G-BGJL,British Airtours,55,Manchester Inter...,U.K.,A1
15495,25,AUG,1985,Beech 99,N300WP,Bar Harbor Airlines,8,near Auburn Airport -  ...,USA,A1
15496,27,AUG,1985,Boeing KC-135A,59-1443,USAF,7,near Marysville-Beale...,USA,A1
15497,28,AUG,1985,Beech C99,N992SB,Sunbird Airlines,3,near Hickory -  NC,USA,A1
15498,29,AUG,1985,Alenia G-222SAA,MM62131,Italian AF,4,near Nurallao -  Sardinia,Italy,A1
15499,30,AUG,1985,BN-2A Islander,P2-DNW,Douglas Airways,3,near Kokoda Airport (...,P.N. Guinea,A1
15500,1,SEP,1985,Antonov An-2P,CCCP-01789,Aeroflot - Yakutsk,0,near Yunkyur Airstrip,Russia,A1
15501,4,SEP,1985,Antonov An-26,YA-BAM,Bakhtar Afghan,52,near Kandahar,Afghanistan,C1
15502,6,SEP,1985,DC-9-14,N100ME,Midwest Express,31,near Milwaukee-Genera...,USA,A1
15503,10,SEP,1985,Douglas DC-3,,Collier County Mosquito Control,0,East Naples -  FL,USA,A1
15504,15,SEP,1985,DHC-6 Twin Otter 300,AP-BCH,PIA,0,Islamabad Intern...,Pakistan,O2
15505,22,SEP,1985,Learjet 35A,N873LP,Louisiana Pacific,1,Auburn -  AL,USA,A1
15506,23,SEP,1985,Beech B99,N339HA,Henson Airlines - opf Piedmont Airlines,14,near Staunton-Shenand...,USA,A1
15507,23,SEP,1985,Dassault Falcon 10,N700DK,Durakool,0,West Chicago-Dup...,USA,A1
15508,23,SEP,1985,BN-2 Islander,I-302,Angolan AF,,,Angola,U1
15509,25,SEP,1985,Boeing 737-2X6C,N674MA,MarkAir,0,Unalaska Airport...,USA,A2
15510,25,SEP,1985,Antonov An-12,CCCP-69321,MAP Kom na Amu APO,9,near Kharkov Airport,Ukraine,A1
15511,26,SEP,1985,BN-2 Islander,P2-DNI,Douglas Airways,4,Kilifas Gap,P.N. Guinea,A1
15512,29,SEP,1985,Cessna 208 Caravan I,N551CC,Air Carriers Express,17,near Jenkinsburg -  GA,USA,A1
15513,,SEP,1985,Grumman G-159 Gulfstream I,N720X,private,0,within Arizona,USA,A1
15514,9,OCT,1985,Embraer EMB-110C Bandeirante,PT-GKA,Nordeste Linhas Aéreas,2,near Vitória da Conq...,Brazil,A1
15515,9,OCT,1985,SE-210 Caravelle VI-N,9Q-CMD,African Air Charter,0,Mbuji-Mayi Airpo...,D.R. Congo,A1
15516,10,OCT,1985,IAI 1124 Westwind,VH-IWJ,Pel-Air,2,near Sydney-Kingsford...,Australia,A1
15517,11,OCT,1985,Curtiss C-46D,CP-1593,SABENI,2,within Beni Department,Bolivia,A1
15518,11,OCT,1985,Yakovlev Yak-40,CCCP-87803,Aeroflot - Georgia,14,near Kutaisi,Georgia,A1
15519,11,OCT,1985,DHC-6 Twin Otter 200,N3257,Mountain Air Cargo,1,Homer City -  PA,USA,A1
15520,12,OCT,1985,Fokker F-27 Friendship 600,XY-ADS,Burma Airways,4,near Putao Airport (PBU),Myanmar,A1
15521,18,OCT,1985,Lockheed L-1011 TriStar 500,JY-AGE,Alia,0,near Singapore,Indian Ocean,A2
15522,19,OCT,1985,Vickers 835 Viscount,N923RC,Ray Charles,0,Bloomington-Monr...,USA,A1
15523,20,OCT,1985,Embraer C-95B Bandeirante (EMB-110),2302,Brazilian AF,0,Rio de Janeiro-G...,Brazil,A1
15524,22,OCT,1985,Shorts 360-100,B-3606,CAAC,0,Enshi Airport (ENH),China,A1
15525,22,OCT,1985,Learjet 24D,N456JA,ERA-Jet Alaska,4,near Juneau Internati...,USA,A1
15526,28,OCT,1985,Beech 200 Super King Air,HK-2489,Unknown,,Bogotá,Colombia,U1
15527,30,OCT,1985,Boeing 727,,American Airlines,0,Dallas/Fort Wort...,USA,C2
15528,1,NOV,1985,Cessna 208 Caravan I,N9241F,Hermens Air,2,Bethel Airport -  ...,USA,A1
15529,2,NOV,1985,Boeing 707-300,,Iran Air,0,Tehran-Mehrabad ...,Iran,H2
15530,7,NOV,1985,Hawker Siddeley HS-125-F400A,N984HF,Hardees Foods,0,Sparta-White Cou...,USA,A1
15531,10,NOV,1985,Dassault Falcon 50,N784B,Nabisco Brands,2+ 1,near Teterboro Airpor...,USA,A1
15532,10,NOV,1985,Fokker F-27 Friendship 600,,Uganda Airlines,0,Kasese Airport (...,Uganda,H2
15533,15,NOV,1985,Convair VC-131H Samaritan (CV-580),542817,US Navy,3,Dothan Airport -  ...,USA,A1
15534,19,NOV,1985,Boeing 737,,America West,0,Phoenix-Sky Harb...,USA,H2
15535,21,NOV,1985,Lockheed C-130H-MP Hercules,A-1322,Indonesian AF,11,Mount Sibayak,Indonesia,A1
15536,24,NOV,1985,Boeing 737-266,SU-AYH,EgyptAir,60,Malta-Luqa Airpo...,Malta,H1
15537,24,NOV,1985,Grumman American G-1159 Gulfstream II,N104AR,Gulfstream Aerospace,0,Edmonton Interna...,Canada,A2
15538,25,NOV,1985,Antonov An-12BP,CCCP-11747,Soviet AF,21,near Menongue Airport...,Angola,C1
15539,30,NOV,1985,Lockheed L-188C Electra,PK-RLG,Mandala Airlines,0,Medan-Polonia Ai...,Indonesia,A1
15540,2,DEC,1985,Boeing 747-228B,F-GCBC,Air France,0,Rio de Janeiro-G...,Brazil,A1
15541,4,DEC,1985,Swearingen SA226-TC Metro II,D-IASN,Delta Air,0,Friedrichshafen ...,Germany,A1
15542,7,DEC,1985,Boeing 737-248,EI-ASA,Aer Lingus,0,Dublin Airport (...,Ireland,A2
15543,8,DEC,1985,Learjet 35A,N15TW,Corporate Air,3,Rochester -  MN,USA,A1
15544,10,DEC,1985,Douglas C-47A (DC-3),6888,South African AF,0,near Swartkop Air For...,South Africa,A2
15545,10,DEC,1985,Douglas C-47B (DC-3),6874,South African AF,0,near Swartkop Air For...,South Africa,A2
15546,12,DEC,1985,DC-8-63CF,N950JW,Arrow Air,256,near Gander Airport -  ...,Canada,A1
15547,12,DEC,1985,Learjet 24B,F-BRNL,Air Provence,0,Toulouse-Blagnac...,France,A1
15548,12,DEC,1985,Learjet 35A,N723GL,General Telephone,2,College Station-...,USA,A1
15549,13,DEC,1985,BN-2A-26 Islander,TN-AEQ,Aéro-Service,,Accra,Ghana,A1
15550,13,DEC,1985,BN-2A-3 Islander,HP-680,Aviones de Panama,7,Yaviza Mountains,Panama,A1
15551,15,DEC,1985,Boeing 747-136,G-AWNE,British Airways,0,Boston-Logan Int...,USA,A2
15552,19,DEC,1985,Antonov An-24,,Aeroflot,0,near Gannan -  Heilongj...,China,H2
15553,23,DEC,1985,unknown jetliner,,Iran Air,1,Tehran-Mehrabad ...,Iran,H2
15554,25,DEC,1985,Douglas C-47 (DC-3),YV-425C,AeroEjecutivos,,near Cumana,Venezuela,A1
15555,26,DEC,1985,Antonov An-26RT,22,Soviet AF,1,near Kabul Airport (KBL),Afghanistan,A1
15556,27,DEC,1985,Boeing 747,,Saudi Arabian,0,Riyadh-King Khal...,Saudi Arabia,H2
15557,30,DEC,1985,Shorts SC.7 Skyvan 3-100,RAN-23,Nepal Army,25,near Dhangadhi,Nepal,A1
15558,31,DEC,1985,BAe-125-700B,5N-AXP,Nigerian Government,7,near Kaduna,Nigeria,A1
15559,31,DEC,1985,Douglas DC-3C,N711Y,Century Equipment,7,De Kalb -  TX,USA,A1
15560,31,DEC,1985,Douglas C-47 (DC-3),,Mexican AF,,,Mexico,U1
15561,,,1985,IAI 1124 Westwind I,N1JS,private,,unknown location,Mexico,U1
15562,,,1985,Antonov An-2TP,CCCP-32352,Aeroflot - Kazakstan,,Sosnovaya Roscha...,Russia,A1
15563,,,1985,Antonov An-24RV,BNMAU-10210,MIAT,,Khuvsgul Province,Mongolia,A1
15564,,,1985,Antonov An-12B,CCCP-12989,Aeroflot - Privolzhsk,,unknown,Unknown country,U1
15565,3,JAN,1986,Antonov An-2T,CCCP-06101,Tselinny gorno-khimicheski kombinat,0,near Shantobe,Kazakhstan,A1
15566,13,JAN,1986,BN-2A-6 Islander,C-GTPB,Borealis Exploration,0,Caribou Horn Lak...,Canada,A2
15567,15,JAN,1986,Dassault Falcon 10,F-GBTC,Air BG,2,near Vatry/Châlons-e...,France,A1
15568,15,JAN,1986,Boeing 737-2A8,VT-EGD,Indian Airlines,0,Tiruchirappalli-...,India,A2
15569,16,JAN,1986,Antonov An-2R,SP-WON,ZUA,,Un-Sara,Sudan,A1
15570,18,JAN,1986,SE-210 Caravelle VI-N,HC-BAE,SAETA - op.for Aerovias Guatemala,94,near Flores-Santa Ele...,Guatemala,A1
15571,19,JAN,1986,Douglas C-47A (DC-3),C-GNNA,Austin Airways,0,Sachigo Lake Air...,Canada,A1
15572,22,JAN,1986,Boeing 727-21,HZ-TFA,private,0,near Riyadh,Saudi Arabia,A2
15573,23,JAN,1986,Grumman HU-16A Albatross,IR-0222,Indonesian AF,5,Ujung Pandang ha...,Indonesia,A1
15574,27,JAN,1986,Boeing 707-387C,LV-JGR,Aerolineas Argentinas,0,Buenos Aires/Eze...,Argentina,A1
15575,27,JAN,1986,Consolidated PBY-6A Catalina,CC-CCS,Aeroservicios Parrague,1,Lago Gutierrez -  RN,Argentina,A2
15576,28,JAN,1986,Boeing 737-2A1,PP-SME,VASP,1,São Paulo-Guaru...,Brazil,A1
15577,29,JAN,1986,Douglas DC-3A-178,XA-IOR,Aero California,21,Las Lomitas,Mexico,A1
15578,31,JAN,1986,Shorts 360-100,EI-BEM,Aer Lingus,0,near East Midlands Ai...,U.K.,A1
15579,,JAN,1986,Douglas DC-6BF,HR-AIV,Unknown,,,Unknown country,U1
15580,2,FEB,1986,DHC-8-101,C-GPYD,Air Dale,0,Sault Ste. Marie...,Canada,A2
15581,4,FEB,1986,Boeing 747-282B,AP-AYW,PIA,0,Islamabad Intern...,Pakistan,A2
15582,5,FEB,1986,Lockheed L-1011 TriStar,,Delta Air Lines,0,Dallas/Fort Wort...,USA,H2
15583,5,FEB,1986,Lockheed L-188AF Electra,9Q-CWT,GLM Aviation,2,near Kasongo,D.R. Congo,A1
15584,6,FEB,1986,Antonov An-26B,CCCP-26095,Aeroflot - Belarus,0,near Saransk Airport ...,Russia,A1
15585,8,FEB,1986,Douglas C-47A (DC-3),HK-3031,SAEP,0,near Bogotá-Eldorado...,Colombia,A1
15586,16,FEB,1986,Boeing 737-281,B-1870,China Airlines,13,near Magong Airport (...,Taiwan,A1
15587,17,FEB,1986,Ilyushin Il-14M,CCCP-41816,Aeroflot - Central Region,6,Philippi Glacier,Antarctica,A1
15588,18,FEB,1986,Kawasaki C-1,58-1010,JASDF,0,Iruma Air Base,Japan,A1
15589,20,FEB,1986,Fokker F-27 Friendship 600,EP-IOK ?,NIOC,0,near Ahwaz Airport (AWZ),Iran,O1
15590,21,FEB,1986,DC-9-31,N961VJ,USAir,0,Erie Internation...,USA,A1
15591,23,FEB,1986,Lockheed EC-130E Hercules,,Iran AF,,,Iran,C1
15592,27,FEB,1986,Dassault Falcon 10,N821LG,Seneca Sawmill,0,Coatesville-Ches...,USA,A1
15593,27,FEB,1986,Boeing 727,,TWA,0,New York-John F....,USA,H2
15594,,FEB,1986,Learjet 25D,I-COTO,Spei Leasing,,Paris-Le Bourget...,France,U1
15595,2,MAR,1986,Antonov An-24B,CCCP-46423,Aeroflot - Moscow,38,near Bugulma Airport ...,Russia,A1
15596,4,MAR,1986,Boeing 737-284,,Olympic Airways,0,Thira Airport (JTR),Greece,H2
15597,5,MAR,1986,Learjet 24D,N97DM,Flight International,2,near San Clemente Isl...,Pacific Ocean,A1
15598,5,MAR,1986,Learjet 35,N39DM,Flight International,2,near San Clemente Isl...,Pacific Ocean,A1
15599,5,MAR,1986,Douglas C-47 (DC-3),,Unknown,,near Pachuca -  Hidalgo,Mexico,A1
15600,7,MAR,1986,Lockheed C-130A Hercules,TT-PAB,Chad AF,,,Chad,A1
15601,13,MAR,1986,Embraer EMB-110P1 Bandeirante,N1356P,Simmons Airlines,3,near Alpena County Re...,USA,A1
15602,14,MAR,1986,DC-9,,Delta Air Lines,0,Daytona Beach In...,USA,H2
15603,20,MAR,1986,CASA/Nurtanio NC-212 Aviocar,PK-NCF,Merpati Nusantara,2,near Naha,Indonesia,A1
15604,20,MAR,1986,DHC-4A Caribou,N539Y,Woods Air Service,2,Lime Village -  AK,USA,A1
15605,22,MAR,1986,Antonov An-32,K2702,Indian AF,3,Jammu,India,A1
15606,22,MAR,1986,BN-2A-21 Islander,C-GYTC,Phaega Corporation,1,Mount Lloyd Geor...,Canada,A1
15607,23,MAR,1986,Douglas DC-3C,N37AP,Atorie Air,0,Steins -  NM,USA,A2
15608,24,MAR,1986,DHC-3 Otter,C-FAGM,Goose Bay Air Services,4,near Goose Bay -  NL,Canada,A1
15609,25,MAR,1986,Antonov An-12AP,CCCP-11795,MOM/Polyot,9,near Omsk Severny Air...,Russia,A1
15610,25,MAR,1986,Antonov An-32,K2729,Indian AF,7,near Jamnagar -  India,Indian Ocean,A1
15611,26,MAR,1986,Antonov An-2R,HA-MBH,Ministry for Agriculture and Nutrition,1,Mezõnyárád,Hungary,A1
15612,30,MAR,1986,Antonov An-26,42,Mozambique AF,44,near Pemba Airport (POL),Mozambique,A1
15613,31,MAR,1986,Boeing 727-264,XA-MEM,Mexicana,167,Las Mesas,Mexico,A1
15614,2,APR,1986,Lockheed HC-130P Combat King,66-0211,USAF,11,Magdalena -  NM,USA,A1
15615,2,APR,1986,Boeing 727-231,N54340,TWA,4,near Argos,Greece,C2
15616,4,APR,1986,DHC-5D Buffalo,800,Sudan AF,7,near Bor,South Sudan,A1
15617,4,APR,1986,IAI 1124A Westwind II,N50SK,Drayton Associates - op.for Integerresources & Drayton Ass.,7,Redwater -  TX,USA,A1
15618,14,APR,1986,PB2B-1 Canso A (PBY-5A),C-FSAT,Can-Air Services,0,Maui -  HI,USA,A1
15619,15,APR,1986,Ilyushin Il-76TD,5A-DNF,Jamahiriya Air Transport,0,Tripoli Internat...,Libya,C1
15620,15,APR,1986,DHC-6 Twin Otter 300,5A-DCS,Libyan Ministry of Agriculture,0,Tripoli Internat...,Libya,C1
15621,15,APR,1986,Ilyushin Il-76TD,5A-DNL,Jamahiriya Air Transport,0,Tripoli Internat...,Libya,C1
15622,15,APR,1986,Ilyushin Il-76M,5A-DLL,Libyan Arab Rep. Air Force,0,Tripoli Internat...,Libya,C1
15623,15,APR,1986,Fokker F-27 Friendship 600,5A-DLP,Libyan Arab Airlines,0,Benghazi-Benina ...,Libya,C1
15624,18,APR,1986,Yakovlev Yak-40,CCCP-87236,Aeroflot - Privolzhsk,0,Kazan Airport (KZN),Russia,A1
15625,18,APR,1986,Yakovlev Yak-40,CCCP-87301,Aeroflot - Yakutsk,0,Chita Airport (HTA),Russia,A1
15626,24,APR,1986,Shorts SC.7 Skyvan 3M-100,7Q-YAY,Malawi Police Force,0,near Mombasa,Kenya,A1
15627,27,APR,1986,DHC-6 Twin Otter 300,HK-2761,ACES,13,near Tame,Colombia,A1
15628,29,APR,1986,Boeing 727-2B6,CN-CCG,RAM,0,Tangier Airport ...,Morocco,A2
15629,29,APR,1986,Fokker F-27 Friendship 400M,AE-561,Peruvian Navy,7,near Las Salinas de H...,Peru,A1
15630,1,MAY,1986,Douglas DC-6,FAS302,Salvadorian AF,37,near San Salvador/Ilo...,El Salvador,A1
15631,1,MAY,1986,Douglas C-47B (DC-3),6855,South African AF,0,over Angola,Angola,C2
15632,2,MAY,1986,Swearingen SA227-AC Metro III,,Horizon Air,0,Portland-Hillsbo...,USA,H2
15633,3,MAY,1986,Antonov An-12TB,CCCP-12962,Aeroflot - Krasnoyarsk,0,Ledovaya Baza,Russia,A1
15634,3,MAY,1986,Lockheed L-1011 TriStar 100,4R-ULD,Air Lanka,14,Colombo-Katunaya...,Sri Lanka,C1
15635,3,MAY,1986,Boeing 747-2R7F,B-198,China Airlines,0,Guangzhou-Baiyun...,China,H2
15636,3,MAY,1986,Boeing 727-256,EC-DDV,Iberia,0,Zürich-Kloten A...,Switzerland,A2
15637,3,MAY,1986,Yakovlev Yak-40,YA-KAF,Bakhtar Afghan,0,Qala i Naw Airpo...,Afghanistan,A1
15638,7,MAY,1986,Swearingen SA226-AT Merlin IV,N577KA,Barckley Airlines,1,near Billings-Logan I...,USA,A1
15639,7,MAY,1986,Learjet 24,N55NJ,My Wife Yacht Sales,0,Hollywood-North ...,USA,A1
15640,16,MAY,1986,Beech C99,N6728J,Centennial Airlines,0,Laramie-General ...,USA,A1
15641,17,MAY,1986,Yakovlev Yak-40,CCCP-87928,Aeroflot - Tyumen,5,near Khanty-Mansiysk ...,Russia,A1
15642,18,MAY,1986,Breguet 1150 Atlantic,19,French Navy,19,near Djibouti,Djibouti,A1
15643,18,MAY,1986,Beech 200C Super King Air,0750/4-G-46,Argentine Navy,7,Punta Mitre -  CR,Argentina,A1
15644,20,MAY,1986,DC-9,,Finnair,0,Oulu Airport (OUL),Finland,H2
15645,21,MAY,1986,Tupolev Tu-154B-2,CCCP-85327,Aeroflot - Krasnoyarsk,0,Moskva-Sheremety...,Russia,A1
15646,23,MAY,1986,DC-10-30,,Swissair,0,Chicago-O'Hare I...,USA,H2
15647,24,MAY,1986,Douglas C-47A (DC-3),5R-MMC,Madagascar AF,13,near Ampanoizankova,Madagascar,A1
15648,26,MAY,1986,Beech B200 Super King Air,N551TR,Unknown,0,unknown,Mexico,U1
15649,7,JUN,1986,Boeing 727-25,YN-BXW,Aeronica,0,Managua-Augusto ...,Nicaragua,H2
15650,8,JUN,1986,Lockheed L-100-20 Hercules,D2-THA,TAAG,0,Dundo Airport (DUE),Angola,C1
15651,10,JUN,1986,Fokker F-27 Friendship 500,SU-GAD,Air Sinai,23,near Cairo Internatio...,Egypt,A1
15652,12,JUN,1986,DHC-6 Twin Otter 300,G-BGPC,Loganair,1,near Laphroaig -  Isle ...,U.K.,A1
15653,14,JUN,1986,DHC-6 Twin Otter 200,C-FZZM,La Ronge Aviation Services,,near Calgary -  AB,Canada,A1
15654,14,JUN,1986,DHC-6 Twin Otter 300,13807,Canadian Armed Forces,8,near Calgary -  AB,Canada,A1
15655,14,JUN,1986,PADC/BN-2A-26 Islander,G-BMDT,Air Furness,0,Barrow-In-Furnes...,U.K.,A1
15656,17,JUN,1986,Boeing KC-135A,63-7983,USAF,4,Balboa-Howard Ai...,Panama,A1
15657,18,JUN,1986,DHC-6 Vista Liner 300,N76GC,Grand Canyon Airlines,20,Grand Canyon Nat...,USA,A1
15658,19,JUN,1986,Douglas C-54D (DC-4),HK-1808,L.A. Suramericanas,3,near La Macarena Airp...,Colombia,A1
15659,22,JUN,1986,DHC-6 Twin Otter 300,ET-AIQ,Ethiopian Airlines,0,near Dembidollo,Ethiopia,A1
15660,22,JUN,1986,Tupolev Tu-134A,CCCP-65142,Aeroflot - Privolzhsk,1,Penza Airport (PEZ),Russia,A1
15661,27,JUN,1986,Martin 4-0-4,N40443,Frontier Airways,3,Buffalo Municipa...,USA,A1
15662,30,JUN,1986,Douglas C-47B (DC-3),43-16395,Turkish AF,0,near Kayseri-Erkilet ...,Turkey,A1
15663,1,JUL,1986,Fairchild SA227-AT Expediter,N243DH,DHL Airways,0,Lincoln Municipa...,USA,A2
15664,2,JUL,1986,Tupolev Tu-134AK,CCCP-65120,Aeroflot - Komi,54,Kopsa,Russia,A1
15665,4,JUL,1986,DHC-4A Caribou,A4-264,RAAF,0,Camden Airport -  ...,Australia,A1
15666,5,JUL,1986,Boeing 707-300,,Sudan Airways,0,Khartoum-Civil A...,Sudan,H2
15667,10,JUL,1986,Douglas C-47A (DC-3),7312,Zimbabwe AF,17,Chimoio Airport ...,Mozambique,A1
15668,11,JUL,1986,Antonov An-2R,CCCP-70124,Aeroflot - Yakutsk,,,Russia,A1
15669,14,JUL,1986,Boeing 737-275,C-GGPW,Pacific Western,0,Kelowna Airport - ...,Canada,A2
15670,16,JUL,1986,Fokker F-28 Fellowship 1000,LV-LOA,Aerolineas Argentinas,0,Ushuaia-Comandan...,Argentina,A2
15671,16,JUL,1986,Antonov An-2,,Polish AF,1,near Choszczno,Poland,A1
15672,19,JUL,1986,Douglas DC-6B,F-ZBBU,Securité Civile,4,near Cantallops,Spain,A1
15673,20,JUL,1986,Boeing 737-296,C-GQBH,Quebecair,0,Wabush Airport -  ...,Canada,A2
15674,22,JUL,1986,Douglas DC-3A,N27PR,Borinquen Air,1,near San Juan-Luis Mu...,Puerto Rico,A1
15675,23,JUL,1986,Mitsubishi Mu-300 Diamond IA,JA8246,Yomiuri Shimbun,4,Mount Kinpoku,Japan,A1
15676,24,JUL,1986,DHC-8-110,V2-LCY,LIAT,0,Saint Kitts-Gold...,St. Kitts & Nevis,A2
15677,25,JUL,1986,Fokker F-27 Friendship 600,TU-TIF,Air Ivoire,0,Tabou Airport (TXU),Cote d'Ivoire,A1
15678,29,JUL,1986,Antonov An-2R,SP-WZH,ZUA,,Krasiny,Poland,A1
15679,31,JUL,1986,BN-2A-21 Islander,RP-C850,Atlas,4,Mount Canlandog,Philippines,A1
15680,2,AUG,1986,Hawker Siddeley HS-125-1A-522,N50HH,American Agronomics Corp,2,Bedford-Virgil I...,USA,A1
15681,4,AUG,1986,DHC-6 Twin Otter 310,V2-LCJ,LIAT,13,near Saint Vincent-Ar...,St. Vincent,A1
15682,6,AUG,1986,SE-210 Caravelle III,5N-AWK,Kabo Air,0,Calabar Airport ...,Nigeria,A1
15683,6,AUG,1986,Learjet 55,N921FP,Federal Paper Board,0,Rutland Airport - ...,USA,A1
